dataset,model,method,seed,config_hash,split_hash,initialization_hash,checkpoint_path,metrics_path,reusable,reuse_scope,reason
cifar10,resnet18,step,1,f1eb454e71aee762a3fffe492c5a0e6308e0af1101a7c36efe34c18ac33555a1,99b489a075b52c477efc94aeccf17190a6a0f2ee7b00a3a8ce55bf5a9d1636d4,c076d3a164d0e93a5a56beaf4777c1bc855b4ca406a45be9bf59f34ba48576a1,UNRESOLVED,D:\reliable-training-control\results\main_supplement_20260501_054015\main_cifar10_resnet18__main_supplement_20260501_054015\step\seed_1\summary.json,false,none,"Invalidated by corrected protocol: historical validation inherited random training augmentation, and the shared reliability counter made reliability-based stopping unreachable (historical artifacts complete)."
cifar10,resnet18,step,2,cc402f969cdeb13d08ead9eaa880dddd6dc04a69d98c3b86ce4d99812e8b2225,6b62938de6bf5c006ed593051f655a3b348a43f3889fc2610a055143b9e74149,34c27e1acefb25d4e3ea3f1b3d3158114a8a677e2489fc48b3ac07c2b4c0dc87,UNRESOLVED,D:\reliable-training-control\results\main_supplement_20260501_054015\main_cifar10_resnet18__main_supplement_20260501_054015\step\seed_2\summary.json,false,none,"Invalidated by corrected protocol: historical validation inherited random training augmentation, and the shared reliability counter made reliability-based stopping unreachable (historical artifacts complete)."
cifar10,resnet18,step,3,a888c67d7a3d1a7df698b9f7c10ba4dfb7a222c6d1f31b2a2b4799d6e6f0624a,20f3d61bf4b212604f8dfc2eca191907490af820f7f65b2975157d8ca6a1e043,f5cd48743d3f50c5289e484eec1c79091905876cd136ad3e65c3e2885c321399,UNRESOLVED,D:\reliable-training-control\results\main_supplement_20260501_054015\main_cifar10_resnet18__main_supplement_20260501_054015\step\seed_3\summary.json,false,none,"Invalidated by corrected protocol: historical validation inherited random training augmentation, and the shared reliability counter made reliability-based stopping unreachable (historical artifacts complete)."
cifar10,resnet18,step,4,bec67fc700a562262d2941378a76039c529a09828dac16b1720b0bf157eb94fb,a284564687954174b1509d17984e2b25033ab2c451fc02598b53ad32831e3b70,4766ca9142b00e37ddcfc68f3662f9eec46f2bc47afdf28c6c0d94a415d9f5f3,UNRESOLVED,D:\reliable-training-control\results\main_supplement_20260501_054015\main_cifar10_resnet18__main_supplement_20260501_054015\step\seed_4\summary.json,false,none,"Invalidated by corrected protocol: historical validation inherited random training augmentation, and the shared reliability counter made reliability-based stopping unreachable (historical artifacts complete)."
cifar10,resnet18,step,5,697f18ee5903d5447944a8177b6c875bdb986041d89b41cea67c006ca1547833,46363a38f57e5cbeec1b92e9403900b1bb59e28178b00d7c537e2a753c4f6125,c7982cce121fe0a64066fdae38c04b6244d55a69675bc352fee9b469448906d5,UNRESOLVED,D:\reliable-training-control\results\main_supplement_20260501_054015\main_cifar10_resnet18__main_supplement_20260501_054015\step\seed_5\summary.json,false,none,"Invalidated by corrected protocol: historical validation inherited random training augmentation, and the shared reliability counter made reliability-based stopping unreachable (historical artifacts complete)."
cifar10,resnet18,cosine,1,64a0d68766cca70ce60110051b10ba63d6ce823a8e26a3013e65d01b2d84309b,99b489a075b52c477efc94aeccf17190a6a0f2ee7b00a3a8ce55bf5a9d1636d4,c076d3a164d0e93a5a56beaf4777c1bc855b4ca406a45be9bf59f34ba48576a1,UNRESOLVED,D:\reliable-training-control\results\main_supplement_20260501_054015\main_cifar10_resnet18__main_supplement_20260501_054015\cosine\seed_1\summary.json,false,none,"Invalidated by corrected protocol: historical validation inherited random training augmentation, and the shared reliability counter made reliability-based stopping unreachable (historical artifacts complete)."
cifar10,resnet18,cosine,2,cc3b57c99288c9e339945731f27f1cad18444d0a4baa1b790a6879ce87f17fb5,6b62938de6bf5c006ed593051f655a3b348a43f3889fc2610a055143b9e74149,34c27e1acefb25d4e3ea3f1b3d3158114a8a677e2489fc48b3ac07c2b4c0dc87,UNRESOLVED,D:\reliable-training-control\results\main_supplement_20260501_054015\main_cifar10_resnet18__main_supplement_20260501_054015\cosine\seed_2\summary.json,false,none,"Invalidated by corrected protocol: historical validation inherited random training augmentation, and the shared reliability counter made reliability-based stopping unreachable (historical artifacts complete)."
cifar10,resnet18,cosine,3,ef96dbb43e75161876901aa763c7659c19bb1575c8063a2e1e4ee9e7e66a689a,20f3d61bf4b212604f8dfc2eca191907490af820f7f65b2975157d8ca6a1e043,f5cd48743d3f50c5289e484eec1c79091905876cd136ad3e65c3e2885c321399,UNRESOLVED,D:\reliable-training-control\results\main_supplement_20260501_054015\main_cifar10_resnet18__main_supplement_20260501_054015\cosine\seed_3\summary.json,false,none,"Invalidated by corrected protocol: historical validation inherited random training augmentation, and the shared reliability counter made reliability-based stopping unreachable (historical artifacts complete)."
cifar10,resnet18,cosine,4,9082ee12826d4c78ed7a5710094c4239e7492c674f271f3f29398819bd1481c3,a284564687954174b1509d17984e2b25033ab2c451fc02598b53ad32831e3b70,4766ca9142b00e37ddcfc68f3662f9eec46f2bc47afdf28c6c0d94a415d9f5f3,UNRESOLVED,D:\reliable-training-control\results\main_supplement_20260501_054015\main_cifar10_resnet18__main_supplement_20260501_054015\cosine\seed_4\summary.json,false,none,"Invalidated by corrected protocol: historical validation inherited random training augmentation, and the shared reliability counter made reliability-based stopping unreachable (historical artifacts complete)."
cifar10,resnet18,cosine,5,09c5492d8ce4a2bef94d8de75b7a8a55f3b268cc3d68fa84668f87aa8649509d,46363a38f57e5cbeec1b92e9403900b1bb59e28178b00d7c537e2a753c4f6125,c7982cce121fe0a64066fdae38c04b6244d55a69675bc352fee9b469448906d5,UNRESOLVED,D:\reliable-training-control\results\main_supplement_20260501_054015\main_cifar10_resnet18__main_supplement_20260501_054015\cosine\seed_5\summary.json,false,none,"Invalidated by corrected protocol: historical validation inherited random training augmentation, and the shared reliability counter made reliability-based stopping unreachable (historical artifacts complete)."
